Tabel 1
Section;Button;Code
channel;9;JgDAAFMdDRANEA0fDR4rHg0QDRANEQ0QDRANEBweDRANEA4QGxANEA0fDRAcHg4QGxANHw0QDRANEA0RGx8NEBwACO1WHw0QDRANHw0eKh8NEA0QDRENEA0QDRAbHw0QDRANERsQDRANHw0QHB4NERsQDR8NEA0QDRANEBwfDRAbAAjuVR8NEA0QDR8NHyoeDhANEA0QDRANEA0QHB4NEQ0QDRAbEA0RDR4NEBwfDRAbEA0fDRANEA0QDhAbHw0QHAANBQ==
sound;mute;JgBWAI2SEzYTNxE5ERQTEhMRExITEhM3EjcUNhMSExITEhMSExITNhE5EzcUNRMSExITEhMSExITEhMRExITNxM3EzYSOBIABkSSkRMSEwAMZZOQExITAA0F
sound;vol_up;JgBOAJCPFTUTNhQ2FBETEhMSExEUERQ2EzcTNhUQFBETEhMSExITNhQ2FDYUERMSExEUERQRFBETEhMSEzYUNhQ2FDUVNRQABkKUkBQREwANBQ==
sound;vol_down;JgBOAI+PFTUUNhQ1FBEUERQRFBETEhM3EzYUNhMSExITEhMRFBEUNhM3FBETNhQRFBETEhMSExITEhM2FRATNxM2FDYWNBMABkOUjxUQFAANBQ==
channel;chan_up;JgCEAFMcEA4PDg8cEBwtHBANEA4PDg8ODw4PDh4cDw4QDRAOHg0QDg8ODxweHBANHw0QHA8OEA0eHQ8NEA4PDg8ODwAI5VYcEA4PDhAbEBwtHBANEA4PDg8ODw4RDB4cEA0QDg8OHg0QDg8ODxweHBANHw0QHA8OEA4dHBANEA4PDg8ODwANBQ==
channel;chan_down;JgDAAFccDw4PDhAcDxwtHBANEA0QDg8ODw4PDh4cEA0QDRAOHg0QDg8cEA0eHBANHw0QHBANEA0eHBANEA4PDh4ACO1WHBANEA0QHQ8cLRwQEwoNEA4PDg8ODw0fHA8OEA0QDh0OEA0QGxAOHhwQDR8NEBsQDg8OHhwQDRANEA0fAAjqWRwPDhANEBwPHC0cEA0QDRAODw4PDhANHh0PDRANEA4eDg8ODxwQDR4cEA0fDRAcEA0QDR4cEA0QDg8OHgANBQ==
channel;chan_previous;JgDAAFQdDw4ODw8dDxwtHBANDw8ODw8ODw4PDh0dEA4PDg8OHQ4QDg8ODh0dHg8OHQ4QHB4cEA4PDg4PDw4eDg8ACOtYHQ8ODg8PHBAcLRwPDg8ODw4QDg8ODw4eHA8ODw4PDh4ODw4PDhAcHhwQDR4ODx0eHA8ODw4QDRAOHQ4QAAjqWRwPDg8OEBwPHSwcEA4PDg4PDw4PDg4PHhwQDg8ODw4eDg8ODw4PHB4dDw4eDg8cHhwQDg8ODw4PDh4ODwANBQ==
channel;chan_list;JgDAAFYdDw0QDRAcEBwtHA8OEA0QDhsEGAUPDh4cEA0QDRANHg4QDRAODxweHBANHw0QGxAOHhweDRAOEBsQDRAACOJZHBANEA0QHA8cLRwQDRAODw4QDRANEA0eHBANEA0QDh4NEA4PDg8dHhsQDh4NEBwQDR8bHw0QDRAcEA0QAAjiWBwQDRAODxwQHC0cEA0QDRANEA0QDg8NHxwQDRANEA4eDRANEA0QHB4cEA0eDhAbEA4eHB4NEA4PHBANEAANBQ==
channel;chan_guide;JgDAAFcbEA4QDRAbEBwtHBANEA0QDg8ODw4QDR4cEA0QDg8NHw0QDRAcEA0fGxAOHg0QHB4NEBwQDR8NEBsQDhAACOJZGxANEA0QHBAcLRwQDRANEA0QDg8ODw4eHBANEA0QDR8NEA0QHBANHhwQDR8NEBsfDRAcEA0fDRAbEA0QAAjkVxwQDRAODxwQHC0bEA4QDRANEA0QDg8OHhsQDhANEA0fDRANEBsQDh4cEA0eDhAcHg0QHBANHg4PHBAODwANBQ==
channel;up;JgACAQ0QDRANHw0fKh8NEA0QDRANEA0QDRAcHw0QDRANEBwQDRANEA0fGx8NEBwQDR4NEBwfGxANHw0QDRANAAjlVh8NEA0QDR8NHiofDRANEA0QDhANEA0QHB4NEA0QDRAcEA0QDRANHxweDRAcEA0fDRAcHhwQDR8NEA0QDQAI5VUfDRANEA0fDR4rHg0QDRENEA0QDRANEBweDRANEQ0QGxANEA4QDR4cHg4QGxANHw0QHB4cEA0fDRANEA0ABsYSAAIMWB0NEA0QDR8NHiseDRANEQ0QDRANEA0QHB4NEA0QDhAbEA0QDRAOHhweDREbEA0fDRAcHhwQDR8NEA0QDQANBQ==
channel;down;JgC6AFEfDRANEA8dDR4rHg0RDQ8OEA0QDRANEBweDRAOEA0QGxENEA0eDRAcHg4QGxAOHg0QHB4cEA0fEA0cAAjtVh4ODw4QDR4OHiofDRANEA0QDg8ODw8PGx8NEA0QDw8bEA0QDx0NEBweDRAcEA0fDRAeHB4ODR4ODxwACO1ZHA0QDRANHw0eKx4ODw4PEQkREA0QDRAcHg4PDhANEBwPDg8OHg4QGx8NEB4NDh4QDR8bHBEMHw0QHAANBQ==
navigation;left;JgC6AFQcDRANEA0fDR8qHg4QDRANEA0QDRANEBweDg8OEA0PHQ8OEA0QDR4cHw8OHA8OHg0QHB4cEA0fHB4NAAjpVBwODw4QDR4NHyofDRANEA0QDREMEA4QGx8NEA0QDRAcEA0QDRANHxsfDRAcEA0eDg8cHx4NDh4cHg4ACOVYGxAODQ8OHg4eKh8NEA0QDRANEA4PDhAbHw0QDRANEBwQDRANEA0fHB4NEBwQDR4OEBsfHA8OHhweDgANBQ==
